date,Product,net_value_usd,de_orders_index_lag_1,de_orders_index_lag_2,de_orders_index_lag_3,de_orders_index_lag_4,de_orders_index_lag_5,de_orders_index_lag_6,de_production_index_diff_lag_1,de_production_index_diff_lag_2,de_production_index_diff_lag_3,de_production_index_diff_lag_4,de_production_index_diff_lag_5,de_production_index_diff_lag_6,us_durable_goods_orders_musd_diff_lag_1,us_durable_goods_orders_musd_diff_lag_2,us_durable_goods_orders_musd_diff_lag_3,us_durable_goods_orders_musd_diff_lag_4,us_durable_goods_orders_musd_diff_lag_5,us_durable_goods_orders_musd_diff_lag_6,us_production_index_diff_lag_1,us_production_index_diff_lag_2,us_production_index_diff_lag_3,us_production_index_diff_lag_4,us_production_index_diff_lag_5,us_production_index_diff_lag_6,month,quarter,year,is_q4,revenue_lag_1,revenue_lag_2,revenue_lag_3,revenue_rolling_3m_mean,revenue_rolling_3m_std,revenue_rolling_6m_mean,revenue_rolling_6m_std
2025-10-01,Accessories,22277.41,81.1,82.5,79.0,80.2,78.4,84.3,0.6999999999999886,-2.5999999999999943,1.0,-0.09999999999999432,-0.10000000000000853,-1.5999999999999943,2009.0,9106.0,-8729.0,-32308.0,48840.0,-20986.0,0.0811999999999955,-0.2693000000000012,0.41550000000000864,0.512999999999991,-0.162399999999991,0.08749999999999147,10,4,2025,1,16100.52,3647.47,-6734.34,4337.883333333333,11433.07529639481,3567.6966666666667,7446.52180308811
2025-11-01,Accessories,2052.76,89.2,81.1,82.5,79.0,80.2,78.4,1.7000000000000028,0.6999999999999886,-2.5999999999999943,1.0,-0.09999999999999432,-0.10000000000000853,-6577.0,2009.0,9106.0,-8729.0,-32308.0,48840.0,-0.44889999999999475,0.0811999999999955,-0.2693000000000012,0.41550000000000864,0.512999999999991,-0.162399999999991,11,4,2025,1,22277.41,16100.52,3647.47,14008.466666666665,9489.530097061355,7061.488333333334,10478.465081805472
2025-12-01,Accessories,3117.85,94.9,89.2,81.1,82.5,79.0,80.2,0.20000000000000284,1.7000000000000028,0.6999999999999886,-2.5999999999999943,1.0,-0.09999999999999432,16735.0,-6577.0,2009.0,9106.0,-8729.0,-32308.0,0.12049999999999272,-0.44889999999999475,0.0811999999999955,-0.2693000000000012,0.41550000000000864,0.512999999999991,12,4,2025,1,2052.76,22277.41,16100.52,13476.896666666666,10364.442409123285,6460.915,10676.512039033623
2023-04-01,Compressors,2034605.0,86.9,91.7,86.9,93.0,89.2,90.6,-2.5,2.0,2.200000000000003,-2.700000000000003,0.3999999999999915,-0.7999999999999972,8577.0,-8181.0,-4484.0,14263.0,-7976.0,4641.0,0.37890000000000157,0.1366000000000014,0.738599999999991,-1.1888000000000005,-0.29769999999999186,-0.03889999999999816,4,2,2023,0,2387947.0,1923706.0,1699102.0,2003585.0,351300.93863666244,1956126.5,488393.0218767463
2023-05-01,Compressors,2240657.0,86.3,86.9,91.7,86.9,93.0,89.2,-0.3999999999999915,-2.5,2.0,2.200000000000003,-2.700000000000003,0.3999999999999915,898.0,8577.0,-8181.0,-4484.0,14263.0,-7976.0,0.2325000000000017,0.37890000000000157,0.1366000000000014,0.738599999999991,-1.1888000000000005,-0.29769999999999186,5,2,2023,0,2034605.0,2387947.0,1923706.0,2115419.3333333335,242442.04229946053,1903018.5,452584.88243985793
2023-06-01,Compressors,2501235.0,92.1,86.3,86.9,91.7,86.9,93.0,1.5,-0.3999999999999915,-2.5,2.0,2.200000000000003,-2.700000000000003,-461.0,898.0,8577.0,-8181.0,-4484.0,14263.0,-0.32439999999999714,0.2325000000000017,0.37890000000000157,0.1366000000000014,0.738599999999991,-1.1888000000000005,6,2,2023,0,2240657.0,2034605.0,2387947.0,2221069.6666666665,177483.49208118874,1901426.5,451133.83505862206
2023-07-01,Compressors,1797922.0,92.9,92.1,86.3,86.9,91.7,86.9,-2.4000000000000057,1.5,-0.3999999999999915,-2.5,2.0,2.200000000000003,14264.0,-461.0,898.0,8577.0,-8181.0,-4484.0,-0.8089999999999975,-0.32439999999999714,0.2325000000000017,0.37890000000000157,0.1366000000000014,0.738599999999991,7,3,2023,0,2501235.0,2240657.0,2034605.0,2258832.3333333335,233845.3469311146,2131208.6666666665,301303.4328703653
2023-08-01,Compressors,1586807.0,84.0,92.9,92.1,86.3,86.9,91.7,-0.5,-2.4000000000000057,1.5,-0.3999999999999915,-2.5,2.0,-10693.0,14264.0,-461.0,898.0,8577.0,-8181.0,0.7870999999999952,-0.8089999999999975,-0.32439999999999714,0.2325000000000017,0.37890000000000157,0.1366000000000014,8,3,2023,0,1797922.0,2501235.0,2240657.0,2179938.0,355566.29721192643,2147678.6666666665,274464.9553940661
2023-09-01,Compressors,2384622.0,86.4,84.0,92.9,92.1,86.3,86.9,-0.29999999999999716,-0.5,-2.4000000000000057,1.5,-0.3999999999999915,-2.5,-4150.0,-10693.0,14264.0,-461.0,898.0,8577.0,-0.06740000000000634,0.7870999999999952,-0.8089999999999975,-0.32439999999999714,0.2325000000000017,0.37890000000000157,9,3,2023,0,1586807.0,1797922.0,2501235.0,1961988.0,478782.70756471565,2091528.8333333333,352746.79503939743
2023-10-01,Compressors,2614906.6,82.4,86.4,84.0,92.9,92.1,86.3,-0.7000000000000028,-0.29999999999999716,-0.5,-2.4000000000000057,1.5,-0.3999999999999915,9101.0,-4150.0,-10693.0,14264.0,-461.0,898.0,0.18180000000000973,-0.06740000000000634,0.7870999999999952,-0.8089999999999975,-0.32439999999999714,0.2325000000000017,10,4,2023,1,2384622.0,1586807.0,1797922.0,1923117.0,413379.4075362245,2090974.6666666667,352190.1586544784
